step,kid_mean,kid_std
20000,0.34298205375671387,0.0038647064939141273
40000,0.014478283002972603,0.0007970101432874799
60000,0.005722627509385347,0.0006824452430009842
80000,0.004826006945222616,0.0007028635591268539
100000,0.004563109949231148,0.000703611527569592
120000,0.004303858149796724,0.0006972343544475734
140000,0.004184136167168617,0.0007230547489598393
160000,0.004073298070579767,0.0006699444493278861
180000,0.004028296563774347,0.0006683320971205831
200000,0.004060983657836914,0.0006966872606426477
220000,0.0038299369625747204,0.0006451726076193154
240000,0.003913116175681353,0.0007460226770490408
260000,0.0037893890403211117,0.0006275094929151237
280000,0.003899988951161504,0.0007207599701359868
300000,0.003841667203232646,0.0006712971953675151
